rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1682468249188656540,,78133,,1682468249,186940108,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249222050378,,78134,,1682468249,220126393,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249256154943,,78135,,1682468249,255151734,"""joystick""","[-1.0, 0.02059999480843544, 1.0, 0.06183050200343132, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249294531387,,78136,,1682468249,292563081,"""joystick""","[0.0, 0.0, 1.0, 0.06183050200343132, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249320861162,,78137,,1682468249,318947160,"""joystick""","[0.0, 0.0, 1.0, 0.06183050200343132, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249354127959,,78138,,1682468249,352241574,"""joystick""","[0.0, 0.0, 1.0, 0.05154576152563095, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249388793169,,78139,,1682468249,385318738,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249420799347,,78140,,1682468249,418737696,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249456306613,,78141,,1682468249,454915944,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249488393655,,78142,,1682468249,486600679,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249522766735,,78143,,1682468249,521371138,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249554658032,,78144,,1682468249,553041505,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249592447878,,78145,,1682468249,589471051,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249627254177,,78146,,1682468249,625056430,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249661308438,,78147,,1682468249,660026186,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249694530467,,78148,,1682468249,692621170,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249722793411,,78149,,1682468249,721329654,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249757821664,,78150,,1682468249,755795150,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249791894261,,78151,,1682468249,790106693,"""joystick""","[0.0, 0.0, 1.0, 0.03091525100171566, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249821446337,,78152,,1682468249,820040308,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249855838872,,78153,,1682468249,853849862,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249889190214,,78154,,1682468249,887415350,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249925596688,,78155,,1682468249,924104963,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249955753314,,78156,,1682468249,952717414,"""joystick""","[0.0, 0.0, 1.0, 0.04123050719499588, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468249996325137,,78157,,1682468249,992798225,"""joystick""","[0.0, 0.0, 1.0, 0.03091525100171566, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468250025739868,,78158,,1682468250,21382964,"""joystick""","[0.0, 0.0, 1.0, 0.03091525100171566, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
